,brand_name,calories,carbohydrate,fat,fiber,food_name,food_type,measurement_description,metric_serving_amount,metric_serving_unit,number_of_units,protein,saturated_fat,serving_description,sugar,trans_fat
0,Peter Paul,230.0,29.0,13.0,3.0,Mounds Chocolate Bar,Brand,serving,1.750,oz,1.000,2.0,10.0,1 bar,21.0,
1,Hershey's,240.0,28.0,13.0,3.0,Mounds Dark Chocolate Candy Bar,Brand,serving,49.000,g,1.000,2.0,10.0,1 bar,20.0,0.0
