,brand_name,calories,carbohydrate,fat,fiber,food_name,food_type,measurement_description,metric_serving_amount,metric_serving_unit,number_of_units,protein,saturated_fat,serving_description,sugar,trans_fat
0,Nestle,280.0,39.0,14.0,,Baby Ruth Bar,Brand,serving,52.000,g,1.000,4.0,,1 bar,,
1,Nestle,250.0,30.0,14.0,1.0,Baby Ruth Crisp,Brand,serving,,,1.000,4.0,8.0,1 package,20.0,0.0
